"","aarmnd","bransje_grov","fylkesnavn","stilling_kilde_id","ainfo","kafka"
"96",202005,"Helse, pleie og omsorg","15 Møre og Romsdal",45,315,298
"97",202005,"Helse, pleie og omsorg","18 Nordland",42,2,2
"98",202005,"Helse, pleie og omsorg","18 Nordland",45,353,343
"99",202005,"Helse, pleie og omsorg","30 Viken",42,18,18
"100",202005,"Helse, pleie og omsorg","30 Viken",45,1311,1287
"101",202005,"Helse, pleie og omsorg","34 Innlandet",42,53,52
"102",202005,"Helse, pleie og omsorg","34 Innlandet",45,454,460
"103",202005,"Helse, pleie og omsorg","38 Telemark og Vestfold",42,21,21
"104",202005,"Helse, pleie og omsorg","38 Telemark og Vestfold",45,337,349
"105",202005,"Helse, pleie og omsorg","42 Agder",42,26,24
"106",202005,"Helse, pleie og omsorg","42 Agder",45,390,377
"107",202005,"Helse, pleie og omsorg","46 Vestland",42,24,22
"108",202005,"Helse, pleie og omsorg","46 Vestland",45,905,859
"109",202005,"Helse, pleie og omsorg","50 Trøndelag",42,16,12
"110",202005,"Helse, pleie og omsorg","50 Trøndelag",45,476,394
"111",202005,"Helse, pleie og omsorg","54 Finnmark og Troms",42,18,8
"112",202005,"Helse, pleie og omsorg","54 Finnmark og Troms",45,454,447
"113",202005,"Helse, pleie og omsorg","99 øvrige omrøder",45,1,1
"114",202005,"Industriarbeid","03 Oslo",42,8,21
"115",202005,"Industriarbeid","03 Oslo",45,145,125
"116",202005,"Industriarbeid","11 Rogaland",42,45,44
"117",202005,"Industriarbeid","11 Rogaland",45,95,97
"118",202005,"Industriarbeid","15 Møre og Romsdal",42,38,38
"119",202005,"Industriarbeid","15 Møre og Romsdal",45,71,69
"120",202005,"Industriarbeid","18 Nordland",42,26,15
"121",202005,"Industriarbeid","18 Nordland",45,49,44
"122",202005,"Industriarbeid","30 Viken",42,60,56
"123",202005,"Industriarbeid","30 Viken",45,206,206
"124",202005,"Industriarbeid","34 Innlandet",42,25,25
"125",202005,"Industriarbeid","34 Innlandet",45,40,39
"126",202005,"Industriarbeid","38 Telemark og Vestfold",42,70,57
"127",202005,"Industriarbeid","38 Telemark og Vestfold",45,56,57
"128",202005,"Industriarbeid","42 Agder",42,23,22
"129",202005,"Industriarbeid","42 Agder",45,31,32
"130",202005,"Industriarbeid","46 Vestland",42,51,50
"131",202005,"Industriarbeid","46 Vestland",45,134,138
"132",202005,"Industriarbeid","50 Trøndelag",42,105,104
"133",202005,"Industriarbeid","50 Trøndelag",45,104,104
"134",202005,"Industriarbeid","54 Finnmark og Troms",42,18,29
"135",202005,"Industriarbeid","54 Finnmark og Troms",45,61,68
"136",202005,"Industriarbeid","99 øvrige omrøder",45,2,2
"137",202005,"Ingen yrkesbakgrunn eller uoppgitt","03 Oslo",42,13,13
"138",202005,"Ingen yrkesbakgrunn eller uoppgitt","03 Oslo",45,40,40
"139",202005,"Ingen yrkesbakgrunn eller uoppgitt","11 Rogaland",42,2,2
"140",202005,"Ingen yrkesbakgrunn eller uoppgitt","11 Rogaland",45,1,1
"141",202005,"Ingen yrkesbakgrunn eller uoppgitt","15 Møre og Romsdal",42,8,8
"142",202005,"Ingen yrkesbakgrunn eller uoppgitt","15 Møre og Romsdal",45,4,4
"143",202005,"Ingen yrkesbakgrunn eller uoppgitt","18 Nordland",42,15,15
"144",202005,"Ingen yrkesbakgrunn eller uoppgitt","18 Nordland",45,11,11
"145",202005,"Ingen yrkesbakgrunn eller uoppgitt","30 Viken",42,38,37
"146",202005,"Ingen yrkesbakgrunn eller uoppgitt","30 Viken",45,56,64
"147",202005,"Ingen yrkesbakgrunn eller uoppgitt","34 Innlandet",42,12,11
"148",202005,"Ingen yrkesbakgrunn eller uoppgitt","34 Innlandet",45,6,6
"149",202005,"Ingen yrkesbakgrunn eller uoppgitt","38 Telemark og Vestfold",42,18,16
"150",202005,"Ingen yrkesbakgrunn eller uoppgitt","38 Telemark og Vestfold",45,35,35
"151",202005,"Ingen yrkesbakgrunn eller uoppgitt","42 Agder",42,29,22
"152",202005,"Ingen yrkesbakgrunn eller uoppgitt","42 Agder",45,9,9
"153",202005,"Ingen yrkesbakgrunn eller uoppgitt","46 Vestland",42,13,13
"154",202005,"Ingen yrkesbakgrunn eller uoppgitt","50 Trøndelag",42,64,64
"155",202005,"Ingen yrkesbakgrunn eller uoppgitt","50 Trøndelag",45,22,22
"156",202005,"Ingen yrkesbakgrunn eller uoppgitt","54 Finnmark og Troms",42,3,3
"157",202005,"Ingen yrkesbakgrunn eller uoppgitt","54 Finnmark og Troms",45,10,10
"158",202005,"Ingeni?r- og ikt-fag","03 Oslo",36,1,NA
"159",202005,"Ingeni?r- og ikt-fag","03 Oslo",42,3,3
"160",202005,"Ingeni?r- og ikt-fag","03 Oslo",45,647,670
"161",202005,"Ingeni?r- og ikt-fag","11 Rogaland",42,9,9
"162",202005,"Ingeni?r- og ikt-fag","11 Rogaland",45,235,230
"163",202005,"Ingeni?r- og ikt-fag","15 Møre og Romsdal",42,1,1
"164",202005,"Ingeni?r- og ikt-fag","15 Møre og Romsdal",45,75,77
"165",202005,"Ingeni?r- og ikt-fag","18 Nordland",42,4,4
"166",202005,"Ingeni?r- og ikt-fag","18 Nordland",45,70,69
"167",202005,"Ingeni?r- og ikt-fag","30 Viken",42,9,10
"168",202005,"Ingeni?r- og ikt-fag","30 Viken",45,319,327
"169",202005,"Ingeni?r- og ikt-fag","34 Innlandet",42,5,4
"170",202005,"Ingeni?r- og ikt-fag","34 Innlandet",45,59,60
"171",202005,"Ingeni?r- og ikt-fag","38 Telemark og Vestfold",42,7,6
"172",202005,"Ingeni?r- og ikt-fag","38 Telemark og Vestfold",45,65,65
"173",202005,"Ingeni?r- og ikt-fag","42 Agder",42,3,3
"174",202005,"Ingeni?r- og ikt-fag","42 Agder",45,74,74
"175",202005,"Ingeni?r- og ikt-fag","46 Vestland",42,9,10
"176",202005,"Ingeni?r- og ikt-fag","46 Vestland",45,232,225
"177",202005,"Ingeni?r- og ikt-fag","50 Trøndelag",42,13,13
"178",202005,"Ingeni?r- og ikt-fag","50 Trøndelag",45,185,184
"179",202005,"Ingeni?r- og ikt-fag","54 Finnmark og Troms",42,4,3
"180",202005,"Ingeni?r- og ikt-fag","54 Finnmark og Troms",45,71,74
"181",202005,"Ingeni?r- og ikt-fag","99 øvrige omrøder",45,1,1
"182",202005,"Ingeni?r- og ikt-fag","UKJENT",45,NA,1
"183",202005,"Jordbruk, skogbruk og fiske","03 Oslo",42,1,NA
"184",202005,"Jordbruk, skogbruk og fiske","03 Oslo",45,19,16
"185",202005,"Jordbruk, skogbruk og fiske","11 Rogaland",42,3,3
"186",202005,"Jordbruk, skogbruk og fiske","11 Rogaland",45,2,2
"187",202005,"Jordbruk, skogbruk og fiske","15 Møre og Romsdal",42,4,4
"188",202005,"Jordbruk, skogbruk og fiske","15 Møre og Romsdal",45,7,5
"189",202005,"Jordbruk, skogbruk og fiske","18 Nordland",42,4,4
"190",202005,"Jordbruk, skogbruk og fiske","18 Nordland",45,19,19
"191",202005,"Jordbruk, skogbruk og fiske","30 Viken",42,10,10
"192",202005,"Jordbruk, skogbruk og fiske","30 Viken",45,50,31
"193",202005,"Jordbruk, skogbruk og fiske","34 Innlandet",42,16,16
"194",202005,"Jordbruk, skogbruk og fiske","34 Innlandet",45,13,13
"195",202005,"Jordbruk, skogbruk og fiske","38 Telemark og Vestfold",42,15,16
"196",202005,"Jordbruk, skogbruk og fiske","38 Telemark og Vestfold",45,7,10
"197",202005,"Jordbruk, skogbruk og fiske","42 Agder",42,6,6
"198",202005,"Jordbruk, skogbruk og fiske","42 Agder",45,4,5
"199",202005,"Jordbruk, skogbruk og fiske","46 Vestland",42,10,10
"200",202005,"Jordbruk, skogbruk og fiske","46 Vestland",45,28,28
"201",202005,"Jordbruk, skogbruk og fiske","50 Trøndelag",42,63,63
"202",202005,"Jordbruk, skogbruk og fiske","50 Trøndelag",45,12,12
"203",202005,"Jordbruk, skogbruk og fiske","54 Finnmark og Troms",42,4,4
"204",202005,"Jordbruk, skogbruk og fiske","54 Finnmark og Troms",45,50,50
"205",202005,"Kontorarbeid","03 Oslo",36,16,NA
"206",202005,"Kontorarbeid","03 Oslo",42,14,15
"207",202005,"Kontorarbeid","03 Oslo",45,264,284
"208",202005,"Kontorarbeid","11 Rogaland",42,8,8
"209",202005,"Kontorarbeid","11 Rogaland",45,49,49
"210",202005,"Kontorarbeid","15 Møre og Romsdal",42,11,12
"211",202005,"Kontorarbeid","15 Møre og Romsdal",45,20,21
"212",202005,"Kontorarbeid","18 Nordland",42,14,14
"213",202005,"Kontorarbeid","18 Nordland",45,27,26
"214",202005,"Kontorarbeid","30 Viken",42,28,32
"215",202005,"Kontorarbeid","30 Viken",45,202,206
"216",202005,"Kontorarbeid","34 Innlandet",42,28,27
"217",202005,"Kontorarbeid","34 Innlandet",45,28,30
"218",202005,"Kontorarbeid","38 Telemark og Vestfold",42,60,55
"219",202005,"Kontorarbeid","38 Telemark og Vestfold",45,51,50
"220",202005,"Kontorarbeid","42 Agder",42,17,17
"221",202005,"Kontorarbeid","42 Agder",45,46,47
"222",202005,"Kontorarbeid","46 Vestland",42,9,8
"223",202005,"Kontorarbeid","46 Vestland",45,83,82
"224",202005,"Kontorarbeid","50 Trøndelag",42,27,27
"225",202005,"Kontorarbeid","50 Trøndelag",45,80,77
"226",202005,"Kontorarbeid","54 Finnmark og Troms",42,6,5
"227",202005,"Kontorarbeid","54 Finnmark og Troms",45,22,23
"228",202005,"Ledere","03 Oslo",42,2,2
"229",202005,"Ledere","03 Oslo",45,221,233
"230",202005,"Ledere","11 Rogaland",45,37,39
"231",202005,"Ledere","15 Møre og Romsdal",42,1,1
"232",202005,"Ledere","15 Møre og Romsdal",45,17,17
"233",202005,"Ledere","18 Nordland",45,18,19
"234",202005,"Ledere","30 Viken",45,84,86
"235",202005,"Ledere","34 Innlandet",45,24,24
"236",202005,"Ledere","38 Telemark og Vestfold",42,2,2
"237",202005,"Ledere","38 Telemark og Vestfold",45,23,24
"238",202005,"Ledere","42 Agder",45,19,17
"239",202005,"Ledere","46 Vestland",45,57,57
"240",202005,"Ledere","50 Trøndelag",45,41,38
"241",202005,"Ledere","54 Finnmark og Troms",45,28,29
"242",202005,"Ledere","UTLAND",45,1,NA
"243",202005,"Meglere og konsulenter","03 Oslo",42,2,2
"244",202005,"Meglere og konsulenter","03 Oslo",45,284,285
"245",202005,"Meglere og konsulenter","11 Rogaland",42,1,1
"246",202005,"Meglere og konsulenter","11 Rogaland",45,51,45
"247",202005,"Meglere og konsulenter","15 Møre og Romsdal",42,3,3
"248",202005,"Meglere og konsulenter","15 Møre og Romsdal",45,16,16
"249",202005,"Meglere og konsulenter","18 Nordland",45,24,22
"250",202005,"Meglere og konsulenter","30 Viken",42,6,6
"251",202005,"Meglere og konsulenter","30 Viken",45,102,104
"252",202005,"Meglere og konsulenter","34 Innlandet",42,3,3
"253",202005,"Meglere og konsulenter","34 Innlandet",45,41,38
"254",202005,"Meglere og konsulenter","38 Telemark og Vestfold",42,3,4
"255",202005,"Meglere og konsulenter","38 Telemark og Vestfold",45,44,41
"256",202005,"Meglere og konsulenter","42 Agder",42,6,5
"257",202005,"Meglere og konsulenter","42 Agder",45,20,19
"258",202005,"Meglere og konsulenter","46 Vestland",42,6,6
"259",202005,"Meglere og konsulenter","46 Vestland",45,99,96
"260",202005,"Meglere og konsulenter","50 Trøndelag",42,9,9
"261",202005,"Meglere og konsulenter","50 Trøndelag",45,103,100
"262",202005,"Meglere og konsulenter","54 Finnmark og Troms",45,35,35
"263",202005,"Meglere og konsulenter","99 øvrige omrøder",45,2,2
"264",202005,"Meglere og konsulenter","UKJENT",45,NA,1
"265",202005,"Reiseliv og transport","03 Oslo",42,53,55
"266",202005,"Reiseliv og transport","03 Oslo",45,165,156
"267",202005,"Reiseliv og transport","11 Rogaland",42,7,7
"268",202005,"Reiseliv og transport","11 Rogaland",45,66,68
"269",202005,"Reiseliv og transport","15 Møre og Romsdal",42,4,4
"270",202005,"Reiseliv og transport","15 Møre og Romsdal",45,53,54
"271",202005,"Reiseliv og transport","18 Nordland",42,11,11
"272",202005,"Reiseliv og transport","18 Nordland",45,76,72
"273",202005,"Reiseliv og transport","30 Viken",42,45,44
"274",202005,"Reiseliv og transport","30 Viken",45,335,328
"275",202005,"Reiseliv og transport","34 Innlandet",42,16,14
"276",202005,"Reiseliv og transport","34 Innlandet",45,60,60
"277",202005,"Reiseliv og transport","38 Telemark og Vestfold",42,68,67
"278",202005,"Reiseliv og transport","38 Telemark og Vestfold",45,101,97
"279",202005,"Reiseliv og transport","42 Agder",42,40,40
"280",202005,"Reiseliv og transport","42 Agder",45,31,23
"281",202005,"Reiseliv og transport","46 Vestland",42,14,14
"282",202005,"Reiseliv og transport","46 Vestland",45,90,90
"283",202005,"Reiseliv og transport","50 Trøndelag",42,29,29
"284",202005,"Reiseliv og transport","50 Trøndelag",45,71,66
"285",202005,"Reiseliv og transport","54 Finnmark og Troms",42,9,9
"286",202005,"Reiseliv og transport","54 Finnmark og Troms",45,48,45
"287",202005,"Serviceyrker og annet arbeid","03 Oslo",42,12,14
"288",202005,"Serviceyrker og annet arbeid","03 Oslo",45,382,377
"289",202005,"Serviceyrker og annet arbeid","11 Rogaland",42,12,14
"290",202005,"Serviceyrker og annet arbeid","11 Rogaland",45,124,123
"291",202005,"Serviceyrker og annet arbeid","15 Møre og Romsdal",42,24,24
"292",202005,"Serviceyrker og annet arbeid","15 Møre og Romsdal",45,100,98
"293",202005,"Serviceyrker og annet arbeid","18 Nordland",36,1,NA
"294",202005,"Serviceyrker og annet arbeid","18 Nordland",42,38,38
"295",202005,"Serviceyrker og annet arbeid","18 Nordland",45,66,68
"296",202005,"Serviceyrker og annet arbeid","30 Viken",42,86,83
"297",202005,"Serviceyrker og annet arbeid","30 Viken",45,236,235
"298",202005,"Serviceyrker og annet arbeid","34 Innlandet",42,37,32
"299",202005,"Serviceyrker og annet arbeid","34 Innlandet",45,177,181
"300",202005,"Serviceyrker og annet arbeid","38 Telemark og Vestfold",42,49,52
"301",202005,"Serviceyrker og annet arbeid","38 Telemark og Vestfold",45,67,66
"302",202005,"Serviceyrker og annet arbeid","42 Agder",42,34,34
"303",202005,"Serviceyrker og annet arbeid","42 Agder",45,66,65
"304",202005,"Serviceyrker og annet arbeid","46 Vestland",42,27,26
"305",202005,"Serviceyrker og annet arbeid","46 Vestland",45,162,147
"306",202005,"Serviceyrker og annet arbeid","50 Trøndelag",42,107,107
"307",202005,"Serviceyrker og annet arbeid","50 Trøndelag",45,143,132
"308",202005,"Serviceyrker og annet arbeid","54 Finnmark og Troms",42,23,23
"309",202005,"Serviceyrker og annet arbeid","54 Finnmark og Troms",45,92,78
"310",202005,"Serviceyrker og annet arbeid","99 øvrige omrøder",45,1,1
"311",202005,"Undervisning","03 Oslo",42,1,1
"312",202005,"Undervisning","03 Oslo",45,617,610
"313",202005,"Undervisning","11 Rogaland",42,1,1
"314",202005,"Undervisning","11 Rogaland",45,236,237
"315",202005,"Undervisning","15 Møre og Romsdal",45,92,90
"316",202005,"Undervisning","18 Nordland",42,2,2
"317",202005,"Undervisning","18 Nordland",45,131,132
"318",202005,"Undervisning","30 Viken",45,677,661
"319",202005,"Undervisning","34 Innlandet",45,169,166
"320",202005,"Undervisning","38 Telemark og Vestfold",42,5,5
"321",202005,"Undervisning","38 Telemark og Vestfold",45,191,189
"322",202005,"Undervisning","42 Agder",42,2,2
"323",202005,"Undervisning","42 Agder",45,122,121
"324",202005,"Undervisning","46 Vestland",42,1,1
"325",202005,"Undervisning","46 Vestland",45,392,373
"326",202005,"Undervisning","50 Trøndelag",42,7,7
"327",202005,"Undervisning","50 Trøndelag",45,319,234
"328",202005,"Undervisning","54 Finnmark og Troms",42,2,2
"329",202005,"Undervisning","54 Finnmark og Troms",45,236,232
"330",202005,"Undervisning","99 øvrige omrøder",45,2,2
"331",202006,"Akademiske yrker","03 Oslo",42,4,4
"332",202006,"Akademiske yrker","03 Oslo",45,563,559
"333",202006,"Akademiske yrker","11 Rogaland",42,6,6
"334",202006,"Akademiske yrker","11 Rogaland",45,117,121
"335",202006,"Akademiske yrker","15 Møre og Romsdal",45,42,39
"336",202006,"Akademiske yrker","18 Nordland",42,4,4
"337",202006,"Akademiske yrker","18 Nordland",45,52,53
"338",202006,"Akademiske yrker","30 Viken",42,4,4
"339",202006,"Akademiske yrker","30 Viken",45,207,211
"340",202006,"Akademiske yrker","34 Innlandet",42,2,2
"341",202006,"Akademiske yrker","34 Innlandet",45,45,44
"342",202006,"Akademiske yrker","38 Telemark og Vestfold",42,1,1
"343",202006,"Akademiske yrker","38 Telemark og Vestfold",45,57,57
"344",202006,"Akademiske yrker","42 Agder",42,6,6
"345",202006,"Akademiske yrker","42 Agder",45,77,76
"346",202006,"Akademiske yrker","46 Vestland",42,1,1
"347",202006,"Akademiske yrker","46 Vestland",45,170,164
"348",202006,"Akademiske yrker","50 Trøndelag",42,8,8
"349",202006,"Akademiske yrker","50 Trøndelag",45,119,119
"350",202006,"Akademiske yrker","54 Finnmark og Troms",42,2,2
"351",202006,"Akademiske yrker","54 Finnmark og Troms",45,106,101
"352",202006,"Akademiske yrker","99 øvrige omrøder",45,1,1
"353",202006,"Akademiske yrker","UTLAND",45,1,NA
"354",202006,"Barne- og ungdomsarbeid","03 Oslo",42,7,12
"355",202006,"Barne- og ungdomsarbeid","03 Oslo",45,230,217
"356",202006,"Barne- og ungdomsarbeid","11 Rogaland",42,4,4
"357",202006,"Barne- og ungdomsarbeid","11 Rogaland",45,55,55
"358",202006,"Barne- og ungdomsarbeid","15 Møre og Romsdal",42,3,2
"359",202006,"Barne- og ungdomsarbeid","15 Møre og Romsdal",45,59,59
"360",202006,"Barne- og ungdomsarbeid","18 Nordland",42,8,8
"361",202006,"Barne- og ungdomsarbeid","18 Nordland",45,37,37
"362",202006,"Barne- og ungdomsarbeid","30 Viken",42,18,18
"363",202006,"Barne- og ungdomsarbeid","30 Viken",45,210,207
"364",202006,"Barne- og ungdomsarbeid","34 Innlandet",42,6,6
"365",202006,"Barne- og ungdomsarbeid","34 Innlandet",45,28,38
"366",202006,"Barne- og ungdomsarbeid","38 Telemark og Vestfold",42,2,2
"367",202006,"Barne- og ungdomsarbeid","38 Telemark og Vestfold",45,50,51
"368",202006,"Barne- og ungdomsarbeid","42 Agder",42,5,5
"369",202006,"Barne- og ungdomsarbeid","42 Agder",45,43,43
"370",202006,"Barne- og ungdomsarbeid","46 Vestland",42,7,7
"371",202006,"Barne- og ungdomsarbeid","46 Vestland",45,243,243
"372",202006,"Barne- og ungdomsarbeid","50 Trøndelag",42,8,6
"373",202006,"Barne- og ungdomsarbeid","50 Trøndelag",45,111,97
"374",202006,"Barne- og ungdomsarbeid","54 Finnmark og Troms",42,2,5
"375",202006,"Barne- og ungdomsarbeid","54 Finnmark og Troms",45,73,89
"376",202006,"Butikk- og salgsarbeid","03 Oslo",42,29,28
"377",202006,"Butikk- og salgsarbeid","03 Oslo",45,697,723
"378",202006,"Butikk- og salgsarbeid","11 Rogaland",42,24,25
"379",202006,"Butikk- og salgsarbeid","11 Rogaland",45,154,156
"380",202006,"Butikk- og salgsarbeid","15 Møre og Romsdal",42,16,15
"381",202006,"Butikk- og salgsarbeid","15 Møre og Romsdal",45,139,145
"382",202006,"Butikk- og salgsarbeid","18 Nordland",42,19,19
"383",202006,"Butikk- og salgsarbeid","18 Nordland",45,90,90
"384",202006,"Butikk- og salgsarbeid","30 Viken",42,43,42
"385",202006,"Butikk- og salgsarbeid","30 Viken",45,446,448
"386",202006,"Butikk- og salgsarbeid","34 Innlandet",42,37,37
"387",202006,"Butikk- og salgsarbeid","34 Innlandet",45,143,146
"388",202006,"Butikk- og salgsarbeid","38 Telemark og Vestfold",42,100,96
"389",202006,"Butikk- og salgsarbeid","38 Telemark og Vestfold",45,159,167
"390",202006,"Butikk- og salgsarbeid","42 Agder",42,42,43
"391",202006,"Butikk- og salgsarbeid","42 Agder",45,123,128
"392",202006,"Butikk- og salgsarbeid","46 Vestland",42,23,23
"393",202006,"Butikk- og salgsarbeid","46 Vestland",45,236,219
"394",202006,"Butikk- og salgsarbeid","50 Trøndelag",42,36,36
"395",202006,"Butikk- og salgsarbeid","50 Trøndelag",45,243,247
"396",202006,"Butikk- og salgsarbeid","54 Finnmark og Troms",42,44,44
"397",202006,"Butikk- og salgsarbeid","54 Finnmark og Troms",45,115,117
"398",202006,"Butikk- og salgsarbeid","99 øvrige omrøder",45,1,1
"399",202006,"Bygg og anlegg","03 Oslo",42,23,74
"400",202006,"Bygg og anlegg","03 Oslo",45,809,788
"401",202006,"Bygg og anlegg","11 Rogaland",42,403,390
"402",202006,"Bygg og anlegg","11 Rogaland",45,223,210
"403",202006,"Bygg og anlegg","15 Møre og Romsdal",42,30,19
"404",202006,"Bygg og anlegg","15 Møre og Romsdal",45,273,276
"405",202006,"Bygg og anlegg","18 Nordland",42,29,30
"406",202006,"Bygg og anlegg","18 Nordland",45,156,151
"407",202006,"Bygg og anlegg","30 Viken",42,58,64
"408",202006,"Bygg og anlegg","30 Viken",45,526,562
"409",202006,"Bygg og anlegg","34 Innlandet",42,34,33
"410",202006,"Bygg og anlegg","34 Innlandet",45,99,99
